"Zeitstempel","Was this your first experience with a VR-Headset?","Which visualizations were easier to compare?","It was easier to track the temporal changes using which application:","Which visualization felt more engaging?","While performing the tasks, which visualization felt more satisfying to use?","For future data representation, which type of visualization would you prefer?"
"2024/05/07 3:44:44 PM OESZ","Yes","2D-Visualizations","2D-Visualizaton","VR-Visualization","VR-Visualization","2D-Visualizations"
"2024/05/07 4:05:16 PM OESZ","Yes","2D-Visualizations","VR-Visualization","VR-Visualization","VR-Visualization","VR-Visualizations"
"2024/05/07 4:05:39 PM OESZ","No","VR-Visualizations","VR-Visualization","VR-Visualization","VR-Visualization","VR-Visualizations"
"2024/05/07 4:05:58 PM OESZ","No","2D-Visualizations","2D-Visualizaton","VR-Visualization","VR-Visualization","VR-Visualizations"
"2024/05/07 4:09:14 PM OESZ","Yes","2D-Visualizations","2D-Visualizaton","VR-Visualization","VR-Visualization","VR-Visualizations"
"2024/05/07 4:09:27 PM OESZ","No","VR-Visualizations","VR-Visualization","VR-Visualization","VR-Visualization","VR-Visualizations"
"2024/05/07 4:10:00 PM OESZ","Yes","2D-Visualizations","VR-Visualization","VR-Visualization","VR-Visualization","2D-Visualizations"
"2024/05/07 4:10:45 PM OESZ","Yes","2D-Visualizations","2D-Visualizaton","2D-Visualization","2D-Visualization","2D-Visualizations"
"2024/05/07 4:11:04 PM OESZ","Yes","2D-Visualizations","2D-Visualizaton","VR-Visualization","VR-Visualization","VR-Visualizations"
"2024/05/07 4:11:15 PM OESZ","No","VR-Visualizations","VR-Visualization","VR-Visualization","VR-Visualization","VR-Visualizations"
"2024/05/07 4:11:51 PM OESZ","No","2D-Visualizations","VR-Visualization","VR-Visualization","VR-Visualization","2D-Visualizations"
"2024/05/07 4:12:16 PM OESZ","Yes","VR-Visualizations","VR-Visualization","VR-Visualization","VR-Visualization","VR-Visualizations"
"2024/05/07 4:13:08 PM OESZ","No","2D-Visualizations","2D-Visualizaton","2D-Visualization","2D-Visualization","2D-Visualizations"
"2024/05/07 4:14:05 PM OESZ","Yes","2D-Visualizations","2D-Visualizaton","2D-Visualization","VR-Visualization","2D-Visualizations"
"2024/05/07 4:14:31 PM OESZ","No","2D-Visualizations","VR-Visualization","VR-Visualization","VR-Visualization","VR-Visualizations"
"2024/05/07 4:15:37 PM OESZ","Yes","2D-Visualizations","VR-Visualization","VR-Visualization","VR-Visualization","2D-Visualizations"
"2024/05/07 4:16:08 PM OESZ","Yes","VR-Visualizations","2D-Visualizaton","VR-Visualization","VR-Visualization","VR-Visualizations"
"2024/05/07 4:16:54 PM OESZ","Yes","VR-Visualizations","VR-Visualization","VR-Visualization","VR-Visualization","VR-Visualizations"
"2024/05/07 4:17:04 PM OESZ","Yes","2D-Visualizations","2D-Visualizaton","2D-Visualization","2D-Visualization","2D-Visualizations"
"2024/05/07 4:18:18 PM OESZ","No","2D-Visualizations","VR-Visualization","2D-Visualization","2D-Visualization","2D-Visualizations"
